Subject: OKS001,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS001,femur-bone,1,246947,246.947,0.013,8.61E-01,3.27E+03,27.631996,27.537
Layer,OKS001,tibia-bone,2,167120,167.12,0.013,2.45E-02,2.99E+00,0.532054,0.5302
Layer,OKS001,fibula-bone,3,19357,19.357,0.013,1.19E-05,1.06E-03,0.00003,0
Layer,OKS001,patella-bone,4,4683,4.683,0.013,2.20E+00,3.60E+02,1.341484,1.3369
Layer,OKS001,lm-men,5,2878,2.878,0.006,4.43E-01,3.98E+00,0.076471,0.0762
Layer,OKS001,mm-men,6,3672,3.672,0.006,9.02E-01,9.41E+00,0.198774,0.1981
Layer,OKS001,fc-cart,7,17610,17.61,0.005,4.00E+00,1.78E+03,3.522483,3.5104
Layer,OKS001,ltc-cart,8,2862,2.862,0.005,9.67E-02,1.51E+00,0.013845,0.0138
Layer,OKS001,mtc-cart,9,1916,1.916,0.005,6.76E-01,4.63E+00,0.064781,0.0646
Layer,OKS001,pat-cart,10,8266,8.266,0.005,6.53E-02,1.15E+00,0.026971,0.0269
Layer,OKS001,muscle,11,620895,620.895,0.018,5.66E-01,2.57E+03,63.289749,63.0722
Layer,OKS001,adipose,12,357111,357.111,0.0057,1.59E-01,2.32E+01,3.231921,3.2208
Layer,OKS001,skin,13,128680,128.68,0.0046,4.87E-02,6.69E+00,0.288446,0.2875
Layer,OKS001,synovial,14,34006,34.006,0.0002,1.85E+00,1.82E+03,0.125853,0.1254
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS001,Bone,438107,438.107,5.18E-01,3.27E+03,29.505566,29.4042,,
Group,OKS001,Cartilage,30654,30.654,2.37E+00,1.78E+03,3.62808,3.6156,,
Group,OKS001,Meniscus,6550,6.55,7.00E-01,9.41E+00,0.275245,0.2743,,
Group,OKS001,Synovial,34006,34.006,1.85E+00,1.82E+03,0.125853,0.1254,,
Group,OKS001,Muscle,620895,620.895,5.66E-01,2.57E+03,63.289749,63.0722,,
Group,OKS001,Adipose,357111,357.111,1.59E-01,2.32E+01,3.231921,3.2208,,
Group,OKS001,Skin,128680,128.68,4.87E-02,6.69E+00,0.288446,0.2875,,
Group,OKS001,TOTAL,1616003,1616.003,,,100.344856,100,,
,,,,,,,,,,
Power,OKS001,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 100.3449 mW,Absorption ratio: 89.20%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @600s (J/cm²),Dose @900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS001,Bone,5.18E-01,0.1554,0.3108,0.4662,,,,
Dose,OKS001,Cartilage,2.37E+00,0.7101,1.4202,2.1303,,,,
Dose,OKS001,Meniscus,7.00E-01,0.2101,0.4202,0.6303,,,,
Dose,OKS001,Synovial,1.85E+00,0.5551,1.1102,1.6653,,,,
Dose,OKS001,Muscle,5.66E-01,0.1699,0.3398,0.5097,,,,
Dose,OKS001,Adipose,1.59E-01,0.0476,0.0952,0.1428,,,,
Dose,OKS001,Skin,4.87E-02,0.0146,0.0292,0.0438,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS002,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS002,femur-bone,1,160519,160.519,0.013,1.45E+00,3.31E+03,30.216055,30.0947
Layer,OKS002,tibia-bone,2,127409,127.409,0.013,5.24E-01,2.19E+03,8.67219,8.6374
Layer,OKS002,fibula-bone,3,11458,11.458,0.013,5.26E-03,1.46E-01,0.007839,0.0078
Layer,OKS002,patella-bone,4,12496,12.496,0.013,9.49E-02,2.28E+00,0.154208,0.1536
Layer,OKS002,lm-men,5,2798,2.798,0.006,4.02E+00,8.10E+01,0.67557,0.6729
Layer,OKS002,mm-men,6,2284,2.284,0.006,1.34E+00,7.87E+00,0.183644,0.1829
Layer,OKS002,fc-cart,7,8407,8.407,0.005,4.83E+00,1.20E+03,2.030894,2.0227
Layer,OKS002,ltc-cart,8,1320,1.32,0.005,6.65E-01,1.83E+01,0.043892,0.0437
Layer,OKS002,mtc-cart,9,631,0.631,0.005,8.31E-01,4.29E+00,0.02623,0.0261
Layer,OKS002,pat-cart,10,5474,5.474,0.005,7.25E-02,5.68E-01,0.019848,0.0198
Layer,OKS002,muscle,11,479521,479.521,0.018,6.38E-01,3.48E+03,55.093578,54.8723
Layer,OKS002,adipose,12,284767,284.767,0.0057,1.76E-01,2.58E+01,2.855438,2.844
Layer,OKS002,skin,13,102463,102.463,0.0046,5.37E-02,7.06E+00,0.252912,0.2519
Layer,OKS002,synovial,14,24746,24.746,0.0002,3.45E+00,1.33E+03,0.170954,0.1703
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS002,Bone,311882,311.882,9.63E-01,3.31E+03,39.050293,38.8935,,
Group,OKS002,Cartilage,15832,15.832,2.68E+00,1.20E+03,2.120864,2.1123,,
Group,OKS002,Meniscus,5082,5.082,2.82E+00,8.10E+01,0.859215,0.8558,,
Group,OKS002,Synovial,24746,24.746,3.45E+00,1.33E+03,0.170954,0.1703,,
Group,OKS002,Muscle,479521,479.521,6.38E-01,3.48E+03,55.093578,54.8723,,
Group,OKS002,Adipose,284767,284.767,1.76E-01,2.58E+01,2.855438,2.844,,
Group,OKS002,Skin,102463,102.463,5.37E-02,7.06E+00,0.252912,0.2519,,
Group,OKS002,TOTAL,1224293,1224.293,,,100.403252,100,,
,,,,,,,,,,
Power,OKS002,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 100.4033 mW,Absorption ratio: 89.25%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS002,Bone,9.63E-01,0.2889,0.5778,0.8667,,,,
Dose,OKS002,Cartilage,2.68E+00,0.8038,1.6076,2.4114,,,,
Dose,OKS002,Meniscus,2.82E+00,0.8454,1.6908,2.5362,,,,
Dose,OKS002,Synovial,3.45E+00,1.0363,2.0726,3.1089,,,,
Dose,OKS002,Muscle,6.38E-01,0.1915,0.383,0.5745,,,,
Dose,OKS002,Adipose,1.76E-01,0.0528,0.1056,0.1584,,,,
Dose,OKS002,Skin,5.37E-02,0.0161,0.0322,0.0483,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS003,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS003,femur-bone,1,196387,196.387,0.013,1.15E+00,3.31E+03,29.418705,28.9075
Layer,OKS003,tibia-bone,2,111288,111.288,0.013,1.07E-02,1.28E+00,0.155041,0.1523
Layer,OKS003,fibula-bone,3,10544,10.544,0.013,1.33E-05,1.27E-03,0.000018,0
Layer,OKS003,patella-bone,4,20862,20.862,0.013,1.58E+00,4.54E+02,4.274618,4.2003
Layer,OKS003,lm-men,5,2884,2.884,0.006,1.01E-01,1.19E+00,0.017517,0.0172
Layer,OKS003,mm-men,6,2626,2.626,0.006,3.24E-01,3.30E+00,0.050989,0.0501
Layer,OKS003,fc-cart,7,8405,8.405,0.005,4.35E+00,1.34E+03,1.827297,1.7955
Layer,OKS003,ltc-cart,8,925,0.925,0.005,1.10E-01,7.78E-01,0.005107,0.005
Layer,OKS003,mtc-cart,9,604,0.604,0.005,4.23E-01,1.45E+00,0.012769,0.0125
Layer,OKS003,pat-cart,10,6244,6.244,0.005,8.59E-02,2.19E+00,0.026816,0.0263
Layer,OKS003,muscle,11,500769,500.769,0.018,6.97E-01,2.61E+03,62.824432,61.7328
Layer,OKS003,adipose,12,288741,288.741,0.0057,1.69E-01,1.70E+01,2.784107,2.7357
Layer,OKS003,skin,13,104223,104.223,0.0046,5.21E-02,4.11E+00,0.2497,0.2454
Layer,OKS003,synovial,14,28636,28.636,0.0002,2.12E+00,1.45E+03,0.121205,0.1191
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS003,Bone,339081,339.081,7.68E-01,3.31E+03,33.848381,33.2602,,
Group,OKS003,Cartilage,16178,16.178,2.31E+00,1.34E+03,1.871989,1.8395,,
Group,OKS003,Meniscus,5510,5.51,2.07E-01,3.30E+00,0.068506,0.0673,,
Group,OKS003,Synovial,28636,28.636,2.12E+00,1.45E+03,0.121205,0.1191,,
Group,OKS003,Muscle,500769,500.769,6.97E-01,2.61E+03,62.824432,61.7328,,
Group,OKS003,Adipose,288741,288.741,1.69E-01,1.70E+01,2.784107,2.7357,,
Group,OKS003,Skin,104223,104.223,5.21E-02,4.11E+00,0.2497,0.2454,,
Group,OKS003,TOTAL,1283138,1283.138,,,101.768326,100,,
,,,,,,,,,,
Power,OKS003,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 101.7683 mW,Absorption ratio: 90.46%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @ 900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS003,Bone,7.68E-01,0.2304,0.4608,0.6912,,,,
Dose,OKS003,Cartilage,2.31E+00,0.6943,1.3886,2.0829,,,,
Dose,OKS003,Meniscus,2.07E-01,0.0622,0.1244,0.1866,,,,
Dose,OKS003,Synovial,2.12E+00,0.6349,1.2698,1.9047,,,,
Dose,OKS003,Muscle,6.97E-01,0.2091,0.4182,0.6273,,,,
Dose,OKS003,Adipose,1.69E-01,0.0507,0.1014,0.1521,,,,
Dose,OKS003,Skin,5.21E-02,0.0156,0.0312,0.0468,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS004,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS004,femur-bone,1,140860,140.86,0.013,1.72E+00,3.19E+03,31.409885,31.184
