MELANIN CONDITION COMPARISON — 808 nm
Fitzpatrick scale: fair = I-II  |  olive = III-IV  |  dark = V-VI
Epidermis: 0.2 mm physical (1 voxel at 1 mm/voxel resolution)

=== Cartilage ===

Fluence Rate (mW/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 5 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 10 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 15 min (J/cm²),Fair
Mean,N/A
StDev,N/A


=== Synovial Fluid ===

Fluence Rate (mW/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 5 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 10 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 15 min (J/cm²),Fair
Mean,N/A
StDev,N/A


=== Muscle ===

Fluence Rate (mW/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 5 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 10 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 15 min (J/cm²),Fair
Mean,N/A
StDev,N/A


=== Bone ===

Fluence Rate (mW/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 5 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 10 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 15 min (J/cm²),Fair
Mean,N/A
StDev,N/A


=== Skin+Epidermis ===

Fluence Rate (mW/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 5 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 10 min (J/cm²),Fair
Mean,N/A
StDev,N/A

Dose @ 15 min (J/cm²),Fair
Mean,N/A
StDev,N/A


