MELANIN CONDITION COMPARISON — 808 nm
Fitzpatrick scale: fair = I-II  |  olive = III-IV  |  dark = V-VI
Epidermis: 0.2 mm physical (1 voxel at 1 mm/voxel resolution)

=== Cartilage ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.4242,0.4213,0.4094
OKS002,0.4025,0.4005,0.3915
OKS003,0.4545,0.4509,0.4392
OKS004,0.2788,0.2766,0.2700
OKS006,0.4545,0.4525,0.4452
OKS007,0.5684,0.5631,0.5480
OKS008,0.5345,0.5328,0.5235
OKS009,0.5279,0.5225,0.5075
Mean,0.4557,0.4525,0.4418
StDev,0.0861,0.0853,0.0832

Dose @ 5 min (J/cm²),Fair,Olive,Dark
OKS001,0.1273,0.1264,0.1228
OKS002,0.1207,0.1201,0.1175
OKS003,0.1363,0.1353,0.1318
OKS004,0.0836,0.0830,0.0810
OKS006,0.1363,0.1357,0.1336
OKS007,0.1705,0.1689,0.1644
OKS008,0.1604,0.1598,0.1571
OKS009,0.1584,0.1568,0.1522
Mean,0.1367,0.1358,0.1325
StDev,0.0258,0.0256,0.0250

Dose @ 10 min (J/cm²),Fair,Olive,Dark
OKS001,0.2545,0.2528,0.2457
OKS002,0.2415,0.2403,0.2349
OKS003,0.2727,0.2705,0.2635
OKS004,0.1673,0.1660,0.1620
OKS006,0.2727,0.2715,0.2671
OKS007,0.3410,0.3379,0.3288
OKS008,0.3207,0.3197,0.3141
OKS009,0.3167,0.3135,0.3045
Mean,0.2734,0.2715,0.2651
StDev,0.0516,0.0512,0.0499

Dose @ 15 min (J/cm²),Fair,Olive,Dark
OKS001,0.3818,0.3792,0.3685
OKS002,0.3622,0.3604,0.3524
OKS003,0.4090,0.4058,0.3953
OKS004,0.2509,0.2490,0.2430
OKS006,0.4090,0.4072,0.4007
OKS007,0.5115,0.5068,0.4932
OKS008,0.4811,0.4795,0.4712
OKS009,0.4751,0.4703,0.4567
Mean,0.4101,0.4073,0.3976
StDev,0.0774,0.0768,0.0749


=== Synovial Fluid ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.5070,0.5035,0.4902
OKS002,0.5113,0.5057,0.4895
OKS003,0.5046,0.4989,0.4840
OKS004,0.3365,0.3332,0.3226
OKS006,0.4831,0.4799,0.4686
OKS007,0.6720,0.6648,0.6454
OKS008,0.5278,0.5241,0.5130
OKS009,0.5454,0.5393,0.5234
Mean,0.5110,0.5062,0.4921
StDev,0.0856,0.0846,0.0823

Dose @ 5 min (J/cm²),Fair,Olive,Dark
OKS001,0.1521,0.1511,0.1471
OKS002,0.1534,0.1517,0.1469
OKS003,0.1514,0.1497,0.1452
OKS004,0.1010,0.0999,0.0968
OKS006,0.1449,0.1440,0.1406
OKS007,0.2016,0.1995,0.1936
OKS008,0.1584,0.1572,0.1539
OKS009,0.1636,0.1618,0.1570
Mean,0.1533,0.1519,0.1476
StDev,0.0257,0.0254,0.0247

Dose @ 10 min (J/cm²),Fair,Olive,Dark
OKS001,0.3042,0.3021,0.2941
OKS002,0.3068,0.3034,0.2937
OKS003,0.3028,0.2993,0.2904
OKS004,0.2019,0.1999,0.1936
OKS006,0.2899,0.2880,0.2812
OKS007,0.4032,0.3989,0.3872
OKS008,0.3167,0.3144,0.3078
OKS009,0.3272,0.3236,0.3140
Mean,0.3066,0.3037,0.2953
StDev,0.0514,0.0508,0.0494

Dose @ 15 min (J/cm²),Fair,Olive,Dark
OKS001,0.4563,0.4532,0.4412
OKS002,0.4602,0.4551,0.4406
OKS003,0.4542,0.4490,0.4356
OKS004,0.3029,0.2998,0.2904
OKS006,0.4348,0.4319,0.4218
OKS007,0.6048,0.5984,0.5808
OKS008,0.4751,0.4717,0.4617
OKS009,0.4909,0.4854,0.4711
Mean,0.4599,0.4556,0.4429
StDev,0.0771,0.0762,0.0741


=== Muscle ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.2677,0.2657,0.2584
OKS002,0.2897,0.2863,0.2764
OKS003,0.2802,0.2766,0.2673
OKS004,0.2704,0.2674,0.2586
OKS006,0.3163,0.3126,0.3029
OKS007,0.3208,0.3175,0.3080
OKS008,0.2706,0.2682,0.2614
OKS009,0.2642,0.2612,0.2529
Mean,0.2850,0.2819,0.2732
StDev,0.0208,0.0205,0.0197

Dose @ 5 min (J/cm²),Fair,Olive,Dark
OKS001,0.0803,0.0797,0.0775
OKS002,0.0869,0.0859,0.0829
OKS003,0.0841,0.0830,0.0802
OKS004,0.0811,0.0802,0.0776
OKS006,0.0949,0.0938,0.0909
OKS007,0.0962,0.0953,0.0924
OKS008,0.0812,0.0805,0.0784
OKS009,0.0793,0.0784,0.0759
Mean,0.0855,0.0846,0.0820
StDev,0.0062,0.0061,0.0059

Dose @ 10 min (J/cm²),Fair,Olive,Dark
OKS001,0.1606,0.1594,0.1551
OKS002,0.1738,0.1718,0.1659
OKS003,0.1681,0.1660,0.1604
OKS004,0.1623,0.1604,0.1552
OKS006,0.1898,0.1876,0.1817
OKS007,0.1925,0.1905,0.1848
OKS008,0.1624,0.1609,0.1568
OKS009,0.1585,0.1567,0.1517
Mean,0.1710,0.1692,0.1639
StDev,0.0125,0.0123,0.0118

Dose @ 15 min (J/cm²),Fair,Olive,Dark
OKS001,0.2409,0.2391,0.2326
OKS002,0.2607,0.2577,0.2488
OKS003,0.2522,0.2490,0.2406
OKS004,0.2434,0.2406,0.2328
OKS006,0.2846,0.2813,0.2726
OKS007,0.2887,0.2858,0.2772
OKS008,0.2435,0.2414,0.2352
OKS009,0.2378,0.2351,0.2276
Mean,0.2565,0.2537,0.2459
StDev,0.0187,0.0184,0.0178


=== Bone ===

Fluence Rate (mW/cm²),Fair,Olive,Dark
OKS001,0.0096,0.0095,0.0092
OKS002,0.0232,0.0228,0.0219
OKS003,0.0172,0.0170,0.0164
OKS004,0.0207,0.0204,0.0197
OKS006,0.0239,0.0236,0.0228
OKS007,0.0119,0.0117,0.0113
OKS008,0.0083,0.0082,0.0079
OKS009,0.0097,0.0096,0.0093
Mean,0.0156,0.0154,0.0148
StDev,0.0061,0.0060,0.0057

Dose @ 5 min (J/cm²),Fair,Olive,Dark
OKS001,0.0029,0.0029,0.0028
OKS002,0.0070,0.0069,0.0066
OKS003,0.0051,0.0051,0.0049
OKS004,0.0062,0.0061,0.0059
OKS006,0.0072,0.0071,0.0068
OKS007,0.0036,0.0035,0.0034
OKS008,0.0025,0.0025,0.0024
OKS009,0.0029,0.0029,0.0028
Mean,0.0047,0.0046,0.0044
StDev,0.0018,0.0018,0.0017

Dose @ 10 min (J/cm²),Fair,Olive,Dark
OKS001,0.0058,0.0057,0.0055
OKS002,0.0139,0.0137,0.0131
OKS003,0.0103,0.0102,0.0098
OKS004,0.0124,0.0123,0.0118
OKS006,0.0144,0.0142,0.0137
OKS007,0.0071,0.0070,0.0068
OKS008,0.0050,0.0049,0.0047
OKS009,0.0058,0.0058,0.0056
Mean,0.0093,0.0092,0.0089
StDev,0.0036,0.0036,0.0034

Dose @ 15 min (J/cm²),Fair,Olive,Dark
